review_id,item_id,user_id,date,text,rating,is_recommend
75bcf4035378468d8251a58519b05e3e,14,5,2024-05-16,,5,True
28ec7b810ad54bb88907344646107949,2,5,2024-05-18,,4,True
14d7c597917a440c9bff6a8d510a4b9f,6,2,2024-05-24,,4,True
d622a7d9a3884e2f91e05cfbca053c7a,10,2,2024-05-23,,3,False
28bde0397b9a4336929f77b55a3a1bae,2,2,2024-05-25,,5,True
66300279773e40709cc4348da4a814d6,10,1,2024-06-02,,1,False
4c7a9c600eef46cfad6322ed2e14cfa2,6,3,2024-07-02,,1,False
97b4a35f9cdf48479ae3361ecbcbada8,12,3,2024-05-06,,4,True
d7cfcc1c2caa47749439cce3312fd32b,6,3,2024-05-10,,3,False
cd25c018501040a18bf35891561b4e84,9,3,2024-05-07,,2,False
b06e34a24c454af582780b017af37c4c,5,1,2024-05-11,,3,False
a6195ed5ccbd4216b9bd34f79542d00a,17,3,2024-05-13,,4,True
dfd00d8808f44eb081a760688ba0de0a,6,4,2024-06-15,,4,True
fc437a4a1a0645568aca999c29fbb72b,1,3,2024-07-06,,3,False
8da2df90c7c641a88c5b5a174c5386a7,6,3,2024-07-04,,5,True
