stock_id,item_id,size,amount,price
0729693718354da5bc0d3d20dc0d50d0,1,3.0,3,350
b960119d1af642f1b4abc41c1a3981e9,1,5.0,3,350
2e93635373c44a00920d269e937ae90c,1,7.0,0,350
695dfa4487fc4f51981efc1b677f3bd3,1,9.0,0,350
da797eff7254440ea25f1062fdb1a3a4,2,3.0,5,450
b1c2f9a800f74540bbebfebd52805280,2,5.0,2,450
e1ef590e98864b60886136766c077945,2,7.0,2,450
095cf60f8d5849bbadfc819f5a5d3c8b,2,9.0,0,450
911707ea1c174d45ae738a90e81755e0,3,6.3,4,50
c2827b74b08445dfafbf8f77338ade4d,3,6.7,1,50
2111fbcc9bd14089a4cb24e95ed3b7ce,3,7.1,1,50
411c90c2caae4f87a3e3f6450666460b,3,7.9,5,50
94c6c02dcf954992b8fab2b4fbe83957,3,9.0,5,50
b850731172814777bdee229b655b9a15,4,6.3,3,250
7201229fe2a34e4082cc0da595758229,4,6.7,4,250
34ff315aa96f44dca964fd8e6982f406,4,7.1,3,250
3e01769d013d43438d9f69df5ecbc20d,4,7.9,2,250
29edbef0ffef4962b66ad267955e7b7b,4,9.0,2,250
b426e82405864db9a2d3fabb6f683533,5,16.0,5,800
78415b9141eb4b2c94a42787124dde10,5,17.7,4,800
6493a22ef2b0462483839a95b15a3cf8,5,19.4,5,800
f0ba2e512a3e43098bb97f3cdfd4ec68,6,16.0,1,1350
071ee7b2b0034b21839c6416057e3f81,6,17.7,3,1350
e4134a5f972847bf887fedde7e9d480a,6,19.4,4,1350
3c8a09b713a64d3595d23375026e5f16,7,1.0,2,400
aec074d6f238479a98be0a7cd7a6d090,8,1.0,5,450
c005a07e63f84067a19b717716ffb49d,9,3.0,2,400
5eac7c553bcd4823b3fcb2fc4a8e0c72,9,5.0,2,400
561b741c2469438193c557aa00c5fda8,9,7.0,3,400
a9ee36d5b33c41208cd18f3a2084aee7,9,9.0,5,400
9d18ee0c1b4f4b69890cd27ba3a1f33a,10,3.0,1,600
676cc2a8e79d44fbafeb51693dee0bfa,10,5.0,2,600
d72bb98c3e92490da6ad9ac12a372c05,10,7.0,3,600
a2502fd312c041be8f402ab973c698fe,10,9.0,5,600
6d0ca9c5b42c498baaff235fef0a8684,11,16.0,2,295
82513a76619948d5a4b75299f41d83f1,11,17.7,3,295
bd8ae3dd3da54874a389377f0fb739e9,11,19.4,4,295
d7b15e14dbc243bc9dfe085fc9648a20,12,16.0,1,85
1ae16523cedb4d659e065da84ccb7da4,12,17.7,2,85
59fea0fd8a49449f8a66ca3606625e91,12,19.4,2,85
23b8c8dc928742bb80763d5495e102f4,13,1.0,4,350
eab0dda912dc46589792aa66062cd0f0,14,1.0,3,300
207d058cd7ea494ebf16354da49c9544,15,3.0,0,850
dce1f886f2bd4394a65147de78bf2648,15,5.0,4,850
a8436ae847d846c6b108960d6ca13879,15,7.0,1,850
d0f89190662e4512967c00034b354a16,15,9.0,2,850
d550a8cf2c364866a540ebd79ea98ca9,16,3.0,2,500
7ac5e6f126564060891e341ffa71ea1f,16,5.0,0,500
fa6be91d17e24055b11035ddedfbc8af,16,7.0,1,500
aba66cc1662b452c855b8f450b77db67,16,9.0,3,500
bd61e116dfac43a9a2c23824b073db4d,17,3.0,0,600
627f79f1761f4864a1a00809b11096ba,17,5.0,0,600
d7b35ffc69c14d9294ea1385c6dc6656,17,7.0,2,600
0236501c251e4154a1447d019e16ee20,17,9.0,5,600
22c2e5de2397465dab814866749253b9,18,16.0,1,85
ec3fc86af0b345dfad6a41befcce44fa,18,17.7,1,85
6fc0e49b16ce41a4960b12e030962de8,18,19.4,0,85
0792aa110f224e48a367faed0b0abfad,19,16.0,4,95
14cd9ce214394012b87b4a8e29fde350,19,17.7,2,95
df720546003a48e8a10e92e760e0c64e,19,19.4,3,95
