purchase_id,stock_id
e12e1d1139e3481b8aa53a88cb95a156,eab0dda912dc46589792aa66062cd0f0
e12e1d1139e3481b8aa53a88cb95a156,94c6c02dcf954992b8fab2b4fbe83957
e12e1d1139e3481b8aa53a88cb95a156,095cf60f8d5849bbadfc819f5a5d3c8b
e12e1d1139e3481b8aa53a88cb95a156,b850731172814777bdee229b655b9a15
1abc839fe844479f9154e5c683264436,071ee7b2b0034b21839c6416057e3f81
1abc839fe844479f9154e5c683264436,a2502fd312c041be8f402ab973c698fe
1abc839fe844479f9154e5c683264436,e4134a5f972847bf887fedde7e9d480a
1abc839fe844479f9154e5c683264436,da797eff7254440ea25f1062fdb1a3a4
773ca8faaf17471a82c0792e2ffeb661,9d18ee0c1b4f4b69890cd27ba3a1f33a
773ca8faaf17471a82c0792e2ffeb661,14cd9ce214394012b87b4a8e29fde350
773ca8faaf17471a82c0792e2ffeb661,6d0ca9c5b42c498baaff235fef0a8684
02a941880e674f82ae0430c404c7f62b,071ee7b2b0034b21839c6416057e3f81
72d033b842474d96aaaaf94153a6dc45,6493a22ef2b0462483839a95b15a3cf8
f469aa686ea24023b0241786068eab1f,d7b15e14dbc243bc9dfe085fc9648a20
f469aa686ea24023b0241786068eab1f,071ee7b2b0034b21839c6416057e3f81
f469aa686ea24023b0241786068eab1f,561b741c2469438193c557aa00c5fda8
f469aa686ea24023b0241786068eab1f,df720546003a48e8a10e92e760e0c64e
8751e73e3f4b4b758931de66506f71a7,561b741c2469438193c557aa00c5fda8
8751e73e3f4b4b758931de66506f71a7,b426e82405864db9a2d3fabb6f683533
80d7415470294775aec85bffc41f852d,bd61e116dfac43a9a2c23824b073db4d
d4592d31cafd44cb8a64a44e64aff624,eab0dda912dc46589792aa66062cd0f0
d4592d31cafd44cb8a64a44e64aff624,071ee7b2b0034b21839c6416057e3f81
d4592d31cafd44cb8a64a44e64aff624,2111fbcc9bd14089a4cb24e95ed3b7ce
d4592d31cafd44cb8a64a44e64aff624,78415b9141eb4b2c94a42787124dde10
f315be28cd9f469ea713116faf49b123,aba66cc1662b452c855b8f450b77db67
f315be28cd9f469ea713116faf49b123,2e93635373c44a00920d269e937ae90c
f315be28cd9f469ea713116faf49b123,e4134a5f972847bf887fedde7e9d480a
f315be28cd9f469ea713116faf49b123,0792aa110f224e48a367faed0b0abfad
